"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000243081",17776.1517622455,-8.08365376444618,0.202276875866807,-39.9633113266443,0,0
"ENSG00000303317",5839.97331080873,-7.66657925023157,0.138102690839225,-55.5136123970009,0,0
"ENSG00000228495",10263.9909341371,-6.156806626532,0.0914830596052706,-67.299964092776,0,0
"ENSG00000164651",4439.76222990345,-4.44993339232714,0.0885994643186522,-50.2252855200426,0,0
"ENSG00000254339",5087.67175311567,-3.9871741315636,0.0808033000966348,-49.3441991452729,0,0
"ENSG00000122756",2109.45546525464,-4.60432845786903,0.116906401292706,-39.3847420411213,0,0
"ENSG00000289356",5094.65759271307,-3.81718560658903,0.0913924569032204,-41.7669656329649,0,0
"ENSG00000260834",7709.28251520618,-5.90931633201925,0.10956436589455,-53.9346555220945,0,0
"ENSG00000305907",4746.7451126654,-3.46985138242828,0.0915570302667968,-37.8982517488514,0,0
"ENSG00000198719",2409.74402092621,-3.7545665208034,0.102593721520981,-36.5964550767912,3.25659493535707e-293,9.68739295420668e-290
"ENSG00000289166",1987.70393807742,-3.80968586359542,0.109204413316222,-34.8858232731285,1.21970634311018e-266,3.29841859895442e-263
"ENSG00000110090",6030.95510774823,-2.9267166075193,0.0872382478352019,-33.5485487173932,9.45256340995883e-247,2.34321169796704e-243
"ENSG00000113430",1044.88138955322,-5.12681281263724,0.155238264662323,-33.0254452649877,3.50375516473544e-239,8.01740037579885e-236
"ENSG00000137486",3982.67920140214,-3.6943621515492,0.112773127852921,-32.7592416906926,2.24259270750038e-235,4.76502894785814e-232
"ENSG00000168505",1296.30859009986,-5.2359885548326,0.165092370312629,-31.7155089900121,9.4968621639188e-221,1.88335439193395e-217
"ENSG00000121454",1500.22831506302,-4.02112952399282,0.128069766959644,-31.3979608103753,2.15731080551148e-216,4.01084528322188e-213
"ENSG00000228624",12069.8893989961,-2.34357164105567,0.0752306983573857,-31.1517996273604,4.79523924656183e-213,8.39082246279264e-210
"ENSG00000138083",921.556394862736,-5.92987129934074,0.192441073355276,-30.8139587664493,1.70380219471624e-208,2.81572243812355e-205
"ENSG00000198417",962.9531070844,-6.45524272839402,0.213026493862,-30.3025347287356,1.06150678727809e-201,1.66192854742954e-198
"ENSG00000259439",1060.66911670584,-5.08719952027831,0.172157265505139,-29.5497230706562,6.62111234006529e-192,9.84791143899611e-189
"ENSG00000151650",2292.80219309943,-3.35347789958871,0.115887794292466,-28.937282999153,4.05670295238169e-184,5.74641632021419e-181
"ENSG00000302753",2604.62930863301,-2.65391155504728,0.0931198486112112,-28.4999556445559,1.17291184473824e-178,1.58593675661038e-175
"ENSG00000196581",1488.07895445118,-3.52814025789527,0.127067441960574,-27.7658871813124,1.12046386257266e-169,1.44914950086734e-166
"ENSG00000233056",8404.73870969545,-2.76266310028664,0.100062649891551,-27.609333785192,8.5967717595781e-168,1.06553403971737e-164
"ENSG00000116833",2454.15721033322,-2.83396335094827,0.102709683536228,-27.5919782183796,1.38881916170066e-167,1.65252814412438e-164
"ENSG00000108821",7951.6038451015,2.37326973003023,0.086340477283855,27.4873362377626,2.48795921129636e-166,2.84651240993972e-163
"ENSG00000136944",677.306407973258,-6.07929806042355,0.224374348081071,-27.0944433372882,1.14487159768389e-161,1.26135168208529e-158
"ENSG00000160801",730.859774974496,-4.46555986314435,0.165811421126017,-26.9315577468605,9.38159168450004e-160,9.96693599424367e-157
